Column1,Column4,Column2,Column3,Column5
english,frequency,german,phrase_or_word,swiss_german
can you help me?,1,Können Sie mir helfen?,phrase,
a,1,ein/eine,word,
a person who is boring and conventional,90,"eine Person, die langweilig und konventionell ist",phrase,Spießer
a person who is conservative and narrow-minded,80,"eine Person, die konservativ und engstirnig ist",phrase,Bünzli
a small piece,30,ein kleines Stück,phrase,Fötzeli
about,1,über/von,word,
acid,70,Säure,word,
acid reflux,95,Säurereflux,word,
acne,60,Akne,word,
adhd,70,ADHS,word,
adhesive,95,Klebstoff,word,
adhesive tape,45,Klebeband,word,
aerial,70,Luft-,word,
aerial tramway,95,Luftseilbahn,word,
afternoon,20,Nachmittag,word,
air,16,Luft,word,
airline,50,Fluggesellschaft,word,
airport,36,Flughafen,word,
aisle,38,Gang,word,
all,2,alle,word,
allergies,40,Allergien,word,
alps,60,Alpen,word,
already,53,bereits,word,
am,1,bin,word,
ambiance,70,Atmosphäre,word,
ambulance,60,Rettungswagen,word,
an,1,an/einem/einer,word,
analgesic,50,Schmerzmittel,word,
analyst,80,Analyst/in,word,
and,1,und,word,
angry,45,wütend,word,
antacid,50,Antazidum,word,
anti,95,gegen,word,
anti-inflammatory,50,Antiphlogistikum,word,
antibiotic,40,Antibiotikum,word,
anticoagulant,55,Antikoagulans,word,
antidepressant,45,Antidepressivum,word,
antifungal,55,Antimykotikum,word,
antihistamine,50,Antihistaminikum,word,
antipsychotic,60,Antipsychotikum,word,
antique,70,Antik,word,
antiseptic,55,Antiseptikum,word,
anxiety,70,Angst,word,
any,10,irgendwelche,word,
anything,5,irgendetwas,word,
apetit,95,Appetit,word,
appetizer,50,Vorspeise,word,
appetizers,20,Vorspeisen,word,
apple,30,Apfel,word,
apple fritter,70,Apfelkrapfen,word,Öpfuchüechli
appreciate,60,schätzen,word,
architecture,50,Architektur,word,
are,1,sind,word,
are you celebrating a special occasion today?,40,Feiern Sie heute einen besonderen Anlass?,phrase,
are you here for happy hour specials?,30,Sind Sie wegen unserer Happy-Hour-Specials hier?,phrase,
army,40,Armee,word,
arrival,75,Ankunft,word,
art,30,Kunst,word,
arthritis,65,Arthritis,word,
as,1,als/wie,word,
assist,30,helfen/unterstützen,word,
assistance,60,Hilfe,word,
asthma,50,Asthma,word,
at,1,bei/um,word,
athlete,60,Athlet,word,
athlete's foot,95,Fußpilz,word,
available,31,verfügbar,word,
awesome,50,großartig,word,
back,20,Rücken,word,
bad,70,schlecht,word,
baggage,40,Gepäck,word,
bags,50,Taschen,word,
bakery,60,Bäckerei,word,
bandage,35,Verband,word,
banks,45,Banken,word,
bar,35,Bar,word,
barcode,70,Strichcode,word,
basket,70,Korb,word,
bathroom,21,Badezimmer,word,
beans,80,Bohnen,word,
beautiful,57,schön,word,
bed,24,Bett,word,
beer,47,Bier,word,
beer list,95,Bierliste,word,
berlin philharmonic,95,Berliner Philharmoniker,word,
beverage,45,Getränk,word,
beverages,60,Getränke,word,
big,25,groß,word,
bike,30,Fahrrad,word,
bike tour,60,Fahrradtour,word,
bill,20,Rechnung,word,
bins,62,Behälter,word,
birth,40,Geburt,word,
birth control,95,Verhütungsmittel,word,
bit,70,Bit,word,
blood,50,Blut,word,
blood pressure monitor,80,Blutdruckmessgerät,phrase,
board,50,Board,word,
boarding,50,Boarding,word,
boarding pass,40,Bordkarte,word,
bon apetit,95,Guten Appetit,word,
book,20,Buch,word,
border,50,Grenze,word,
boring,43,langweilig,word,
box,40,Schachtel,word,
brand,59,Marke,word,
brazil,30,Brasilien,word,
bread,30,Brot,word,
bread roll,95,Brötchen,word,Weggli
bridge,50,Brücke,word,
bring,30,bringen,word,
buffet,80,Buffet,word,
build,80,bauen,word,
bum,89,Penner,word,
"bum, homeless person",90,"Obdachloser, Obdachlose",word,Penner
bus,50,Bus,word,
business,70,Geschäft,word,
but,1,aber,word,
butter,30,Butter,word,
buy,37,kaufen,word,
cab,50,Taxi,word,
cabin,80,Hütte,word,
cable,65,Kabel,word,
cable car,95,Seilbahn,word,
call,30,Anruf,word,
call the police/ambulance,20,Rufen Sie die Polizei/den Rettungswagen!,phrase,
can,2,können,word,
can i assist you with anything else?,20,Kann ich Ihnen noch bei etwas anderem helfen?,phrase,
can you please repeat that?,1,Können Sie das bitte wiederholen?,phrase,
can i buy a ticket on board the bus/train or do i need to purchase it elsewhere?,30,Kann ich im Bus/Zug ein Ticket kaufen oder muss ich es anderswo kaufen?,phrase,
can you tell me where the nearest bus/train stop is?,1,"Können Sie mir sagen, wo die nächste Bushaltestelle/Zugstation ist?",phrase,
do you have a restroom i can use?,1,"Haben Sie eine Toilette, die ich benutzen kann?",phrase,
do you have any other items you would like to purchase?,1,Möchten Sie noch weitere Artikel kaufen?,phrase,
do you have the time?,1,Haben Sie die Uhrzeit?,phrase,
can i help you to your car with your groceries?,20,Kann ich Ihnen mit Ihren Einkäufen zum Auto helfen?,phrase,
do you speak english?,1,Sprechen Sie Englisch?,phrase,
do you want me to call you a cab or an uber?,1,Soll ich ein Taxi oder einen Uber für Sie rufen?,phrase,
can i offer you any recommendations on products?,30,Kann ich Ihnen Empfehlungen zu Produkten geben?,phrase,
do you want to come with?,1,Möchten Sie mitkommen?,phrase,"Hesch Lust, mit z'cho?"
does this bus/train stop at [landmark]?,1,Hält dieser Bus/Zug an [Sehenswürdigkeit]?,phrase,
everything is good,1,alles ist gut,phrase,S'isch alles guet
good afternoon,1,Guten Nachmittag,phrase,
good evening,1,Guten Abend,phrase,
good morning,1,Guten Morgen,phrase,
good night,1,gute Nacht,phrase,
cancellation,50,Stornierung,word,
cancelled,62,abgesagt,word,
candy,60,Süßigkeiten,word,
canned,60,in Dosen,word,
canned foods,95,Dosennahrung,word,
capsule,45,Kapsel,word,
car,30,Auto,word,
card,20,Karte,word,
cards,53,Karten,word,
care,70,Sorgfalt,word,
carousel,80,Karussell,word,
carpool,70,Fahrgemeinschaft,word,
carry,50,tragen,word,
cart,70,Wagen,word,
cash,20,Bargeld,word,
cashier,70,Kassierer,word,
cat,18,Katze,word,
celebrating,30,feiern,word,
cereal,60,Müsli,word,
chair,20,Stuhl,word,
chalet,70,Chalet,word,
charity,50,Wohltätigkeit,word,
cheap,35,billig,word,
check,41,überprüfen,word,
checkout,70,Kasse,word,
checkpoint,58,Kontrollpunkt,word,
cheese,55,Käse,word,
chef,80,Koch/Köchin,word,
chickpeas,30,Kichererbsen,word,
chocolate,65,Schokolade,word,
cholesterol,65,Cholesterin,word,
chronic,60,chronisch,word,
chronic pain,95,chronischer Schmerz,word,
cigarettes,75,Zigaretten,word,
cilantro,60,Koriander,word,
city,50,Stadt,word,
civilian,85,Zivilist,word,
civilian service worker,90,"Zivildienstleistender, Zivildienstleistende",word,Zivi
class,29,Klasse,word,
clean,38,sauber,word,
clear,70,klar,word,
clearance,90,Räumungsverkauf,word,
climb,50,klettern,word,
clock,30,Uhr,word,
cocktail,50,Cocktail,word,
code,30,Code,word,
coffee,30,Kaffee,word,
cold,55,kalt,word,
cold and flu symptoms,70,Erkältungs- und Grippe-Symptome,word,
come,20,kommen,word,
commute,60,Pendeln,word,
complaints,70,Beschwerden,word,
computer,27,Computer,word,
condom,90,Kondom,word,
confirmation,44,Bestätigung,word,
connecting,50,verbindend,word,
connecting flight,95,Anschlussflug,word,
connector,70,Verbindungselement,word,
conservative,50,konservativ,word,
constipation,65,Verstopfung,word,
control,40,Kontrolle,word,
conventional,68,konventionell,word,
cook,70,kochen,word,
cooked,30,gekocht,word,
cookies,60,Kekse,word,
cool,40,kühl/super,word,Geil
"cool, laid-back",20,"cool, entspannt",word,Lässig
corkage fee,90,Korkgeld,word,
cost,30,Kosten,word,
cough,60,Husten,word,
counter,55,Schalter,word,
country,50,Land,word,
coupon,70,Gutschein,word,
coupons,50,Gutscheine,word,
cow,60,Kuh,word,
"crazy, insane",40,"verrückt, wahnsinnig",word,Gölä
cream,45,Creme,word,
create,80,erstellen,word,
credit,50,Kredit,word,
credit card,30,Kreditkarte,word,
crew,80,Mannschaft,word,
crosswalk,70,Zebrastreifen,word,
cruise,90,Kreuzfahrt,word,
cry,40,weinen,word,
cuckoo clock,90,Kuckucksuhr,word,
cuisine,95,Küche,word,
culture,50,Kultur,word,
currency,20,Währung,word,
currently,43,momentan,word,
currywurst,80,Currywurst,word,
customer,29,Kunde/Kundin,word,
customer service,95,Kundenservice,word,
customs,54,Zoll,word,
cutlery,70,Besteck,word,
cyclist,65,Radfahrer,word,
dairy,60,Milchprodukte,word,
damn,20,verdammt,word,
dance,80,tanzen,word,
data,30,Daten,word,
date,55,Datum,word,
day,10,Tag,word,
debit,50,Lastschrift,word,
debit card,95,Debitkarte,word,
declaration,67,Erklärung,word,
delay,50,Verspätung,word,
delayed,30,verspätet,word,
deli,60,Delikatessengeschäft,word,
delicious,34,lecker,word,
delivery,70,Lieferung,word,
departure,80,Abfahrt,word,
depression,65,Depression,word,
design,50,Design,word,
desk,43,Schreibtisch,word,
dessert,50,Dessert,word,
desserts,50,Desserts,word,
destination,51,Ziel,word,
destroy,80,zerstören,word,
diabetes,65,Diabetes,word,
diarrhea,65,Durchfall,word,
did,20,tat,word,
"good, and you?",1,"Gut, und dir?",phrase,"Guet, und dir?"
have a nice day,1,Schönen Tag noch / Einen schönen Tag wünsche ich Ihnen,phrase,
dietary,40,Ernährungs-,word,
dietary supplements,95,Nahrungsergänzungsmittel,word,
difficult,80,schwierig,word,
digestive,55,Verdauungs-,word,
digestive problems,95,Verdauungsprobleme,word,
dining,40,Essen,word,
dirty,46,schmutzig,word,
discount,70,Rabatt,word,
discounts,40,Rabatte,word,
dish,70,Gericht,word,
dishes,20,Geschirr,word,
dislike,30,nicht mögen,word,
district,95,Bezirk,word,
do,1,tun/machen,word,
have a nice trip,1,Gute Reise / Guten Flug,phrase,
how's it going?,1,Wie läuft's? / Wie geht's?,phrase,
how are you?,1,Wie geht es dir? / Wie geht es Ihnen?,phrase, / Wie gaht's?
how long does the journey take?,1,Wie lange dauert die Reise?,phrase,
do you have any coupons or discounts?,20,Haben Sie Coupons oder Rabatte?,phrase,
how much do i owe you?,1,Wie viel schulde ich Ihnen?,phrase,
how much does it cost?,1,Wie viel kostet es?,phrase,
i'm very sorry,1,Es tut mir sehr leid,phrase,
i am 31 years old,1,Ich bin 31 Jahre alt,phrase,
i am a data analyst,1,Ich bin Datenanalyst(in),phrase,
do you have any specific brand preferences?,30,Haben Sie bestimmte Markenpräferenzen?,phrase,
i am from brazil,1,Ich komme aus Brasilien,phrase,
i appreciate it,1,Ich schätze es / Ich danke Ihnen,phrase,
do you need a raincheck for an out-of-stock item?,40,Benötigen Sie einen Regencheck für ein ausverkauftes Produkt?,phrase,
do you need a receipt or an email confirmation?,20,Benötigen Sie eine Quittung oder eine Bestätigung per E-Mail?,phrase,
"i can't, sorry",1,"Ich kann nicht, tut mir leid",phrase,
do you need any help to carry your bags?,30,Benötigen Sie Hilfe beim Tragen Ihrer Taschen?,phrase,
do you need any recommendations for drinks?,20,Möchten Sie Empfehlungen für Getränke?,phrase,
i don't speak german,1,Ich spreche kein Deutsch,phrase,
i like that,1,Das gefällt mir,phrase,Mir gfallt das guet
i need assistance,1,Ich brauche Hilfe / Unterstützung,phrase,
i need help,1,Ich brauche Hilfe / Unterstützung,phrase,
do you want to donate to our charity?,40,Möchten Sie an unsere Wohltätigkeitsorganisation spenden?,phrase,
do you want to pay for your drink now or start a tab?,20,Möchten Sie Ihr Getränk jetzt bezahlen oder eine Rechnung aufmachen?,phrase,
do you want to purchase any phone cards or prepaid credit cards?,40,Möchten Sie Telefonkarten oder Prepaid-Kreditkarten kaufen?,phrase,
is there a restroom here?,1,Gibt es hier eine Toilette? / Wo ist die Toilette?,phrase,
doctor,80,Arzt/Ärztin,word,
does,20,tut/macht,word,
is this bus/train going to [destination]?,1,Fährt dieser Bus/Zug nach [Ziel]?,phrase,
"doesn't matter, who cares",30,"Ist egal, wen interessiert's",phrase,Wumpe
dog,16,Hund,word,
doing,40,tun,word,
donate,50,spenden,word,
doner,95,Döner,word,
doner kebab,60,Döner Kebab,word,
dosage,75,Dosierung,word,
dress,40,Kleid,word,
dress code,80,Kleiderordnung,word,
dressing,40,Dressing,word,
drink,20,Getränk,word,
drinks,20,Getränke,word,
drive,30,fahren,word,
driver,25,Fahrer/in,word,
drops,50,Tropfen,word,
drug,50,Droge,word,
drug allergies,95,Medikamentenallergien,word,
dude,40,Kumpel,word,
"dude, man",1,"Typ, Mann",word,Alder
duty,64,Pflicht,word,
dysfunction,70,Funktionsstörung,word,
ear,35,Ohr,word,
ear infection,95,Ohrenentzündung,word,
earth,13,Erde,word,
east,30,Osten,word,
East Berlin,60,Ost-Berlin,word,NA
easy,40,einfach,word,
eat,20,essen,word,
eczema,70,Ekzem,word,
effects,60,Effekte,word,
electronics,57,Elektronik,word,
else,5,sonst/noch,word,
elsewhere,50,anderswo,word,
email,25,E-Mail,word,
end,17,Ende,word,
"end of the workday, time to relax",60,"Feierabend, Zeit zum Entspannen",phrase,Feierabend
energy,40,Energie,word,
energy drinks,95,Energy-Drinks,word,
english,30,Englisch,word,
enough,30,genug,word,
entree,50,Hauptspeise,word,
epinephrine,60,Adrenalin,word,
epipen,70,Epipen,word,
evening,20,Abend,word,
everything,30,alles,word,
it's no problem,1,kein Problem / es ist kein Problem,phrase, / Es isch kei Problem
it was nice,1,Es war schön,phrase,Es isch schön gsi
excess,70,Selbstbeteiligung,word,
exchange,67,Austausch,word,
excuse,5,Entschuldigung,word,
expensive,32,teuer,word,
experience,20,Erfahrung,word,
expressway,45,Autobahn,word,
extreme,74,extrem,word,
eye,30,Auge,word,
family,50,Familie,word,
fantastic,80,fantastisch,word,
fare,60,Fahrpreis,word,
farm,70,Farm,word,
fashion,50,Mode,word,
fast,10,schnell,word,
fast food,60,Schnellimbiss,word,
fasten,50,fasten,word,
fee,20,Gebühr,word,
feedback,30,Rückmeldung,word,
feel,40,fühlen,word,
ferris wheel,70,Riesenrad,word,
fill,45,füllen,word,
final,35,endgültig,word,
find,20,finden,word,
fine,1,"gut, in Ordnung",word,
fine dining,95,gehobene Küche,word,
first,23,zuerst/erste,word,
flat,30,Wohnung,word,
flat bread,95,Fladenbrot,word,
flavor,70,Geschmack,word,
flight,43,Flug,word,
flight number,20,Flugnummer,word,
flu,55,Grippe,word,
fly,60,fliegen,word,
fondue,75,Fondue,word,
food,10,Essen,word,
foods,20,Lebensmittel,word,
foot,65,Fuß,word,
for,1,für,word,
forget,80,vergessen,word,
form,30,Formular,word,
forward,40,vorwärts,word,
franc,50,Franken,word,
frankly,80,offen gesagt,word,
free,30,frei/kostenlos,word,
fresh,60,frisch,word,
fresh produce,20,frisches Obst und Gemüse,word,
friend,50,Freund,word,
fritter,95,Fritter,word,
from,1,von/aus,word,
frown,80,Stirn runzeln,word,
frozen,30,gefroren,word,
frozen foods,70,Tiefkühlkost,word,
fungus,70,Pilz,word,
galleries,50,Galerien,word,
garage,35,Garage,word,
gardens,50,Gärten,word,
garlic,30,Knoblauch,word,
gate,31,Tor,word,
gauze,35,Gazestoff,word,
generic,65,generisch,word,
generic medication,95,Generikum,word,
german,40,deutsch,word,
get,1,bekommen/erhalten,word,
give,30,geben,word,
glacier,80,Gletscher,word,
glucose,40,Glukose,word,
glucose meter,60,Blutzuckermessgerät,word,
gluten,80,Gluten,word,
go,1,gehen/fahren,word,
god,20,Gott,word,
going,1,gehen/fahren,word,
gondola,70,Gondel,word,
good,10,gut,word,
my name is victor,1,mein Name ist Victor,phrase,
nice to meet you,1,"nett, Sie kennenzulernen",phrase,
oh my god!,1,oh mein Gott!,phrase,Gopferdammi
pardon me,1,Verzeihung,phrase,
take care,1,Pass auf dich auf,phrase,Mach's guet
goodbye,1,Tschüss/Auf Wiedersehen,word,
government,50,Regierung,word,
graffiti,60,Graffiti,word,
grains,60,Getreide,word,
granola,80,Müsli,word,
gratuity,80,Trinkgeld,word,
great,20,großartig,word,
groceries,50,Lebensmittel,word,
ground,70,Boden,word,
gum,65,Kaugummi,word,
hairstyle,46,Frisur,word,
happy,10,glücklich,word,
hard,23,hart/schwierig,word,
hate,80,hassen,word,
have,1,haben,word,
thank you very much,1,vielen Dank,phrase,Merci vilmal
that's fine,1,das ist in Ordnung,phrase,Das passt guet
that's great,1,das ist großartig,phrase,Das isch super
health,60,Gesundheit,word,
healthy,23,gesund,word,
heartburn,65,Sodbrennen,word,
heavy,36,schwer,word,
hello,1,Hallo,word,
help,10,helfen,word,
help desk,20,Informationsschalter,word,
here,1,hier,word,
hi,1,Hallo,word,
high,55,hoch,word,
high blood pressure,90,hoher Blutdruck,word,
highway,25,Autobahn,word,
hiking,60,Wandern,word,
hipster,50,Hipster,word,
history,40,Geschichte,word,
hobby,60,Hobby,word,
homeless,78,obdachlos,word,
host,70,Gastgeber,word,
hostess,70,Gastgeberin,word,
hot,10,heiß,word,
hour,28,Stunde,word,
house,29,Haus,word,
how,5,wie,word,
that's okay,1,das ist okay,phrase,Das isch scho okay
there's no problem,1,es gibt kein Problem,phrase,Es git kei Problem
we have to go now,1,wir müssen jetzt gehen,phrase,Mir münd jetz go
what's going on?,1,Was ist los?,phrase,Was isch los?
what's up?,1,Was gibt's Neues?,phrase,Was gsehts?
what are you doing today?,1,was machst du heute?,phrase,Was machsch hüt?
what time is it?,1,Wie spät ist es?,phrase,
where is the restroom?,1,Wo ist die Toilette?,phrase,
can i get you anything else to drink?,5,Kann ich Ihnen noch etwas zu trinken bringen?,phrase,
can i help you find a specific product?,5,"Kann ich Ihnen helfen, ein bestimmtes Produkt zu finden?",phrase,
hungry,40,hungrig,word,
hurt,30,Schmerzen haben,word,
I,1,ich,word,
I'm sorry,1,es tut mir leid,word,
can i offer you any desserts or coffee?,5,Kann ich Ihnen Nachspeisen oder Kaffee anbieten?,phrase,
can i offer you anything else to drink?,5,Kann ich Ihnen sonst noch etwas zu trinken anbieten?,phrase,
can i pay with cash or do i need to use a card?,5,Kann ich bar bezahlen oder muss ich eine Karte benutzen?,phrase,
can i see your boarding pass and id please?,5,Kann ich bitte Ihren Boarding-Pass und Ihren Ausweis sehen?,phrase,
do i need to fill out a customs declaration form?,5,Muss ich ein Zollformular ausfüllen?,phrase,
do you have a window or an aisle seat preference?,5,Haben Sie eine Vorliebe für ein Fenster- oder Gang,phrase,
do you have any carry-on bags?,5,Haben Sie Handgepäck?,phrase,
do you have any dietary restrictions or allergies?,5,Haben Sie besondere Ernährungsbedürfnisse oder Allergien?,phrase,
do you have any promotions or discounts currently available?,5,Gibt es derzeit Sonderaktionen oder Rabatte?,phrase,
do you have any questions about our products?,5,Haben Sie Fragen zu unseren Produkten?,phrase,
do you have any special needs or requests?,5,Haben Sie besondere Bedürfnisse oder Anfragen?,phrase,
ID,46,Ausweis,word,
idea,70,Idee,word,
imagine,80,sich vorstellen,word,
immigration,55,Einwanderung,word,
important,10,wichtig,word,
in,1,in,word,
infection,55,Infektion,word,
inflammatory,95,entzündungshemmend,word,
ingredients,70,Zutaten,word,
inhaler,50,Inhalator,word,
injection,50,Injektion,word,
insane,40,wahnsinnig,word,
insomnia,65,Schlaflosigkeit,word,
insulin,50,Insulin,word,
insurance,30,Versicherung,word,
intense,72,intensiv,word,
interactions,75,Wechselwirkungen,word,
interesting,80,interessant,word,
interests,60,Interessen,word,
intersection,55,Kreuzung,word,
is,1,ist,word,
do you have your own bags or do you need some?,5,Haben Sie eigene Taschen oder brauchen Sie welche?,phrase,
everything is clear,5,alles ist klar,phrase,S'isch alles klar
have you packed any liquids or prohibited items in your bags?,5,Haben Sie Flüssigkeiten oder verbotene Gegenstände im Gepäck?,phrase,
how often does the bus/train come?,5,Wie oft fährt der Bus/Zug?,phrase,
how was your dining experience with us today?,5,Wie war Ihr Restaurantbesuch heute?,phrase,
how was your experience at our bar today?,5,Wie war Ihr Erlebnis in unserer Bar heute?,phrase,
